Name,Location,Address,Phone,Email,Website
Dhaka Pet Hospital,Dhaka,"House 23, Road 3, Dhanmondi, Dhaka",+8801712345678,info@dhakapethospital.com,www.dhakapethospital.com
Pet Care Veterinary Clinic,Chittagong,"Mehedibag, Chittagong",+8801723456789,petcarectg@gmail.com,www.petcarectg.com
Animal Health Center,Khulna,"Shib Bari More, Khulna",+8801734567890,ahc.kh@gmail.com,www.animalhealthkhulna.com
Happy Paws Veterinary,Barisal,"Kawnia Road, Barisal",+8801745678901,happypawsbarisal@gmail.com,www.happypawsbd.com
Sylhet Pet & Animal Care,Sylhet,"Zindabazar, Sylhet",+8801756789012,petcaresylhet@gmail.com,www.sylhetpetcare.com
Comilla Pet Health Center,Comilla,"Tomsom Bridge, Comilla",+8801767890123,comillapethealth@gmail.com,www.comillapethealth.com
Mymensingh Veterinary Services,Mymensingh,"Charpara, Mymensingh",+8801778901234,mymensinghvets@gmail.com,www.mymensinghvets.com
Rajshahi Animal Hospital,Rajshahi,"Sopura, Rajshahi",+8801789012345,rajshahianimal@gmail.com,www.rajshahianimalhospital.com
Rangpur Pet & Vet Clinic,Rangpur,"Medical More, Rangpur",+8801790123456,rangpurvet@gmail.com,www.rangpurvet.com
Jessore Veterinary Care,Jessore,"Monihar, Jessore",+8801701234567,jessorevetcare@gmail.com,www.jessorevetcare.com
